id|division|disease|name|composition|dose|indication
0|传染科|  感冒|葱豉姜汤|葱白5节、豆豉9克、生姜10克。|以上三味共入水煎服。每日1剂，两煎分取、晚服。连续服5天。|风寒感冒。
1|传染科|  感冒|橘姜饮|橘饼2个、生姜20克。|上二味水煎服。每日1剂，连用3剂。|风寒感冒。
2|传染科|  感冒|辣汤|大蒜、葱白、生姜各30克。|以上三味水煎服。服后卧床休息发汗，出汗即愈。|外感风寒。
3|传染科|  感冒|生姜紫苏煎|生姜5片、紫苏叶50克。|上二味水煎服。每日1剂，早、晚服。连用3剂。|外感风寒。
4|传染科|  感冒|辣椒解表散|辣椒细粉15克。|将辣椒粉撒入饭食中，饭后卧床发汗。|外感风寒、无汗。
5|传染科|  感冒|黄豆香菜汤|黄豆25克、香菜15克(干品)|上二味水煎服。|伤风感冒。
6|传染科|  感冒|姜片粥|鲜姜片40克、葱白30克、粳米150克|上三味共煮粥食用。|风寒感冒。
7|传染科|  感冒|防风葱白粥|防风克、葱白20克、粳米100克。|将防风、葱白煎煮，去渣取汁，入粳米与药汁煮成粥状，任意服食。|风寒感冒。
8|传染科|  感冒|苏叶粥|苏叶15克、粳米50克。|将米和苏叶共煮成粥，空腹食用。|风寒感冒。
9|传染科|  感冒|辣味汤面|挂面100克、萝卜50克、香菜、葱白、姜丝各20克、胡椒粉、盐适量。|将葱、姜炝入锅内，加适量水入萝水沸后入面条，再沸入香菜及调料，食后卧床发汁。|
10|传染科|  感冒|罗汉果茶|罗汉果1个。|将罗汉果切片水煎，代茶饮。|外感肺热咳嗽。
11|传染科|  感冒|绿豆甜粥|绿豆150克、红糖适量。|将绿豆加水煮沸1小时左右，加红糖，再煮15分钟，趁热服后卧床发汗。|内热伤风。
12|传染科|  感冒|葛根绿豆汤|葛拫15克、绿豆粉50克。|上二味水煎服。每日1剂两煎，早、晚服。|风热感冒。
13|传染科|  感冒|葱豉豆腐煎|砭腐60克、淡豆豉12克、葱白15克。|上儿味水煎，加适量调料，趁热服后卧床盖被取汁。|内热外感。
14|传染科|  感冒|蒸香菜饴糖|香菜30克、饴糖15克、米汤半碗。|将香菜和饴搪放盛米杨的碗中混蒸，糖完全溶化后食服。|内热外感。
15|传染科|  感冒|瓜瓤解表方|苦瓜瓤适量。|将瓜瓤煮熟食。每日1次。|外感。
16|传染科|  感冒|薄荷粥|薄荷5克、粳米50克。|先煮粳米，候熟，入薄荷，再煮沸5分钟，空腹食。|风热感冒.
17|传染科|  感冒|葱白粥|粳米100克、葱白30克。生石膏50克、豆豉10克。|先煮石膏、豆豉，去渣取汁，入米煮粥，欲熟入葱白，再煮片刻，空腹食之。|感冒内热盛者。
18|传染科|  感冒|辛凉解表粥|寒水石30克、牛蒡根15克、粳米100克。|先将寒水石、牛蒡根水煎，去渣取汁。后入粳米煮粥，空腹食。|内热感冒。
19|传染科|  感冒|菜根菊花煎|大白菜根3个、菊花15克、白糖20克。|上三味共水煎，趁热饮服。卧床发汗，每日1剂。|暑热伤风。
20|传染科|  感冒|绿豆甘草煎|绿豆100克、甘草10克。|上二味水煎，任意食服。|内热外感。
21|传染科|  感冒|藿香绿豆汤|绿豆50克、藿香10克3|上二味水煎.服时可加适量白糖。每日1剂|暑热伤风。
22|传染科|  感冒|冬瓜板兰根汤|板兰根20克、冬瓜150克。|上二味水煎饮汤，每日2次。 |暑湿感冒。
23|传染科|  感冒|清暑薏米粥|薏米、赤小豆各30克、山药、木棉花、扁豆各15克、灯芯3克、鲜荷叶半张。|以上儿味用慢火共煮粥，以豆熟为度。空腹食。|暑湿感冒。
24|传染科|  感冒|豆浆粳米粥|豆浆200克、粳米50克。|将豆浆与米共煮为粥，空腹任意食用。|伤风感冒。
25|传染科|  感冒|绿豆粥|绿豆50克、粳米250克、冰糖25克。|将绿豆与米煮粥，候熟时放冰糖，空腹食。|暑热感冒。
26|传染科|肺结核|金樱冰糖膏|金樱子5000克、冰糖500克。|将二味浓煎熬骨。每次2汤匙，每日3次，蜂蜜水送服。|肺结核。
27|传染科|肺结核|玉竹川贝煎|川贝9克、玉竹15克、冰糖25克。|将川贝打碎，与玉竹、冰糖加水炖服。每日1剂，连用1月。|肺结核见潮热、咳嗽。
28|传染科|肺结核|黑豆炖梨(稆豆秋梨）|黑豆30克、鸭梨2只。|先将黑豆洗净泡发，再将梨洗净切片。加水适量。文火炖烂后食服。每日2次，连用1个月。|肺结核见咳嗽、气急。
29|传染科|肺结核|甜豆浆蛋汤|豆浆1碗、鸡蛋1只、白糖适量。|将鸡蛋打入豆浆中拌匀，煮熟后加白糖调服。每日2次，连服1个月.|体虚者可服用。
30|传染科|肺结核|鳗鱼粉|鳗鱼适量。|将鳗鱼烧存性，研细末.每日2次，每次取5克。连用1月。|肺结核。
31|传染科|肺结核|鳗鱼油|鳗鱼适量。1|将鳗鱼放清水中煮2〜3小时，取浮油放冷。每日2次，每次服半匙，服用2个月。|肺结核。
32|传染科|肺结核|鳖血饮|新鲜鳖血30〜50克。|用适量黄酒冲服鳖血。每日2次。连用50天。|肺结核见潮热、咳嗽
33|传染科|肺结核|泽泻豆癘汤|豆腐100克、鲜泽泻叶100克、冰糖30克。|三味加水煎服。每日2次，连用1个月。|肺结核。
34|传染科|肺结核|燕窝银耳羹|燕窝5克、银耳9克、冰糖25克。|将燕窝、银耳用水泡发。与冰糖一起炖服。早、晚各服1次。空腹食。连用1个月。|肺结核体弱荇。
35|传染科|肺结核|豆浆黄米粥|粳米100克、豆浆1000克、黄米100克。|将粳米加水煮烂。黄米水磨成浆，与豆浆一同放入粥中，慢火再煮20分钟。随意空腹食之。|可作肺结核病人的膳食。
36|传染科|肺结核|松子粥|松子仁10克、粳米50克、白糖30克。|将松子捣烂，水研滤去汁，与米共成粥。熟后放白糖，空腹食。|肺结核病人可食。
37|传染科|肺结核|玉竹粳米粥|玉竹15克、粳米100克、冰糖适量。|将玉竹煮沸20分钟，去渣取汁。入粳米煮粥，候熟入冰糖，稍煮即可。空腹食。|肺结核见有虚热者。
38|传染科|肺结核|沙参粳米粥|沙参15克、粳米100克、冰糖适量。|将玉竹煮沸20分钟，去渣取汁。入粳米煮粥，候熟入冰糖，稍煮即可。空腹食。|肺结核见有虚热者。
39|传染科|肺结核|天冬粳米粥|天冬15克、粳米100克、冰糖适量。|将玉竹煮沸20分钟，去渣取汁。入粳米煮粥，候熟入冰糖，稍煮即可。空腹食。|肺结核见有虚热者。
40|传染科|肺结核|党参猪肺汤|党参15克、百合30克、猪肺250克。|上几味加水足够后文火煎煮，熟后适当淡调味。饮汤食肺。每日1剂分2次服。连用1个月。|肺结核。
41|传染科|肺结核|桃根枣汤|猕猴桃根30克、大枣8个。|上二味水煎服。每1剂二煎，连用半个月。|肺结核。
42|传染科|肺结核|龟板丸|乌龟壳|将上味烧存性研末，枣泥或炼蜜为丸。每日2次，每次服10克。连用50天。|肺结核见虚热者。
43|传染科|肺结核|山药栗炖猪肉|山药50克、板栗50克、痩猪肉100克。|上三味炖食。每日2次，连用20天。|肺结核。
